UP,Down,contronler,hard
0,0,contronler_508,hard_2
0,0,contronler_509,hard_2
0,0,contronler_510,hard_2
0,0,contronler_511,hard_2
0,0,contronler_511,hard_2
0,0,contronler_512,hard_2
0,0,contronler_512,hard_2
0,0,contronler_513,hard_2
0,0,contronler_513,hard_2
0,0,contronler_514,hard_2
0,0,contronler_515,hard_2
0,0,contronler_516,hard_2
0,0,contronler_517,hard_2
0,0,contronler_517,hard_2
0,0,contronler_518,hard_2
0,0,contronler_519,hard_2
0,0,contronler_519,hard_2
0,0,contronler_519,hard_2
0,0,contronler_520,hard_2
0,0,contronler_521,hard_2
0,0,contronler_521,hard_2
0,0,contronler_522,hard_2
0,0,contronler_522,hard_2
0,0,contronler_522,hard_2
0,0,contronler_522,hard_2
0,0,contronler_523,hard_2
0,0,contronler_523,hard_2
0,0,contronler_524,hard_2
0,0,contronler_525,hard_2
0,0,contronler_525,hard_2
0,0,contronler_526,hard_2
0,0,contronler_527,hard_2
0,0,contronler_528,hard_2
0,0,contronler_528,hard_2
0,0,contronler_529,hard_2
0,0,contronler_529,hard_2
0,0,contronler_530,hard_2
0,0,contronler_530,hard_2
0,0,contronler_531,hard_2
0,0,contronler_531,hard_2
0,0,contronler_532,hard_2
0,0,contronler_532,hard_2
0,0,contronler_533,hard_2
0,0,contronler_534,hard_2
0,0,contronler_534,hard_2
0,0,contronler_535,hard_2
0,0,contronler_535,hard_2
0,0,contronler_535,hard_2
0,0,contronler_536,hard_2
0,0,contronler_537,hard_2
0,0,contronler_538,hard_2
0,0,contronler_539,hard_2
0,0,contronler_539,hard_2
0,0,contronler_540,hard_2
0,0,contronler_541,hard_2
0,0,contronler_541,hard_2
0,0,contronler_542,hard_2
0,0,contronler_542,hard_2
0,0,contronler_542,hard_2
0,0,contronler_543,hard_2
0,0,contronler_544,hard_2
0,0,contronler_544,hard_2
0,0,contronler_545,hard_2
0,0,contronler_546,hard_2
0,0,contronler_547,hard_2
0,0,contronler_548,hard_2
0,0,contronler_549,hard_2
0,0,contronler_550,hard_2
0,0,contronler_551,hard_2
0,0,contronler_552,hard_2
0,0,contronler_553,hard_2
0,0,contronler_554,hard_2
0,0,contronler_554,hard_2
0,0,contronler_555,hard_2
0,0,contronler_556,hard_2
0,0,contronler_557,hard_2
0,0,contronler_557,hard_2
0,0,contronler_557,hard_2
0,0,contronler_558,hard_2
0,0,contronler_558,hard_2
0,0,contronler_559,hard_2
0,0,contronler_560,hard_2
0,0,contronler_560,hard_2
0,0,contronler_561,hard_2
0,0,contronler_562,hard_2
0,0,contronler_563,hard_2
0,0,contronler_563,hard_2
0,0,contronler_563,hard_2
0,0,contronler_564,hard_2
0,0,contronler_564,hard_2
0,0,contronler_564,hard_2
0,0,contronler_565,hard_2
0,0,contronler_566,hard_2
0,0,contronler_567,hard_2
0,0,contronler_568,hard_2
0,0,contronler_569,hard_2
0,0,contronler_569,hard_2
0,0,contronler_570,hard_2
0,0,contronler_571,hard_2
0,0,contronler_572,hard_2
0,0,contronler_573,hard_2
0,0,contronler_574,hard_2
0,0,contronler_574,hard_2
0,0,contronler_575,hard_2
0,0,contronler_575,hard_2
0,0,contronler_576,hard_2
0,0,contronler_576,hard_2
0,0,contronler_577,hard_2
0,0,contronler_578,hard_2
0,0,contronler_579,hard_2
0,0,contronler_579,hard_2
0,0,contronler_580,hard_2
0,0,contronler_581,hard_2
0,0,contronler_582,hard_2
0,0,contronler_583,hard_2
0,0,contronler_584,hard_2
0,0,contronler_585,hard_2
0,0,contronler_586,hard_2
0,0,contronler_587,hard_2
0,0,contronler_587,hard_2
